Id,Product_Code,Product_Weight,Fat_Category,Visibility_Score,Category_Type,Retail_Price,Store_Code,Year_Opened,Store_Size,Location_Class,Store_Category,Total_Sales
34,NCN05,8.235,Reduced,0.014456938,Health and Hygiene,184.795,OUT035,2004,Compact,Suburban,Superstore A,1464.76
35,FDX48,,Standard,0.066336811,Baking Goods,154.1656,OUT019,1985,Compact,Urban,MiniMart,617.8624
36,FDW09,13.65,Standard,0.025899245,Snack Foods,81.1302,OUT013,1987,Spacious,Rural,Superstore A,792.302
37,FDY35,17.6,Standard,0.016060186,Breads,47.2402,OUT045,2002,,Suburban,Superstore A,505.3422
38,FDI52,18.7,Reduced,0.104658344,Frozen Foods,121.2072,OUT035,2004,Compact,Suburban,Superstore A,1470.0864
39,FDB20,7.72,Reduced,0.052086085,Produce,76.8986,OUT045,2002,,Suburban,Superstore A,467.3916
40,FDT03,21.25,Reduced,0.009998763,Proteins,182.3608,OUT046,1997,Compact,Urban,Superstore A,551.2824
41,FDT24,12.35,Standard,0.311090379,Baking Goods,79.2328,OUT010,1998,,Rural,MiniMart,154.4656
42,FDF59,12.5,Reduced,0.071230537,Starchy Foods,128.102,OUT035,2004,Compact,Suburban,Superstore A,885.514
43,FDL22,16.85,Reduced,0.036596012,Snack Foods,90.6488,OUT017,2007,,Suburban,Superstore A,633.8416
44,FDE02,8.71,Reduced,0.121149472,Canned,93.7778,OUT013,1987,Spacious,Rural,Superstore A,1783.6782
45,FDF14,7.55,Reduced,0.027164679,Canned,152.334,OUT035,2004,Compact,Suburban,Superstore A,2603.278
46,FDH48,13.5,Reduced,0.06082246,Baking Goods,85.154,OUT017,2007,,Suburban,Superstore A,605.878
47,FDZ27,7.935,Reduced,0.017191055,Edibles,51.535,OUT045,2002,,Suburban,Superstore A,848.895
48,FDC20,10.65,Reduced,0.023971463,Produce,54.0272,OUT046,1997,Compact,Urban,Superstore A,447.4176
49,NCQ06,13,Reduced,0.0420611,HomeGoods,254.1014,OUT017,2007,,Suburban,Superstore A,3315.0182
50,FDA56,9.21,Reduced,0.008764786,Produce,123.1414,OUT046,1997,Compact,Urban,Superstore A,4264.449
51,DRH25,18.7,Reduced,0.014675574,Beverages,50.8324,OUT017,2007,,Suburban,Superstore A,934.7832
52,FDA02,14,Standard,0.029697925,Edibles,143.0786,OUT013,1987,Spacious,Rural,Superstore A,3178.5292
53,FDP49,9,Standard,0.069196376,Breakfast,54.3614,OUT049,1999,Standard,Urban,Superstore A,718.3982
54,FDP39,,Reduced,0.121554149,Proteins,53.7324,OUT019,1985,Compact,Urban,MiniMart,311.5944
55,FDW23,5.765,Reduced,0.0821398,Baking Goods,37.2164,OUT049,1999,Standard,Urban,Superstore A,579.246
56,NCO26,7.235,Reduced,0.077011493,HomeGoods,117.3492,OUT045,2002,,Suburban,Superstore A,1506.0396
57,FDW28,18.25,Reduced,0.089004389,Frozen Foods,196.7452,OUT045,2002,,Suburban,Superstore A,978.726
58,FDY47,8.6,Standard,0.05443912,Breads,128.831,OUT013,1987,Spacious,Rural,Superstore A,1038.648
59,FDQ04,6.4,Reduced,0.084885375,Frozen Foods,39.2796,OUT049,1999,Standard,Urban,Superstore A,701.7532
60,FDD17,7.5,Reduced,0.032811503,Frozen Foods,239.6906,OUT017,2007,,Suburban,Superstore A,2614.5966
61,DRD01,12.1,Standard,0.061299601,Beverages,56.2614,OUT045,2002,,Suburban,Superstore A,552.614
62,NCE43,12.5,Reduced,0.17314115,HomeGoods,168.4448,OUT010,1998,,Rural,MiniMart,170.4448
63,NCP05,19.6,Reduced,0.025286583,Health and Hygiene,151.8024,OUT046,1997,Compact,Urban,Superstore A,1366.2216
64,NCU05,,Reduced,0.058451805,Health and Hygiene,79.9618,OUT027,1985,Standard,Rural,Superstore C,241.6854
65,DRZ24,,Reduced,0,Beverages,121.044,OUT027,1985,Standard,Rural,Superstore C,2396.88
66,FDV51,16.35,Reduced,0.032538896,Proteins,165.7842,OUT046,1997,Compact,Urban,Superstore A,2652.5472
67,FDJ45,17.75,Reduced,0.073396761,Seafood,35.1216,OUT035,2004,Compact,Suburban,Superstore A,830.9184
68,NCR53,12.15,Reduced,0.145013434,Health and Hygiene,225.0404,OUT035,2004,Compact,Suburban,Superstore A,4950.8888
69,DRK49,14.15,Reduced,0.03593692,Beverages,41.0138,OUT035,2004,Compact,Suburban,Superstore A,771.6622
70,FDL58,5.78,Standard,0,Snack Foods,263.7568,OUT017,2007,,Suburban,Superstore A,2636.568
71,NCK05,20.1,Reduced,0.077389797,Health and Hygiene,60.8536,OUT013,1987,Spacious,Rural,Superstore A,1347.5792
72,FDS48,,Reduced,0.048637888,Baking Goods,149.7708,OUT019,1985,Compact,Urban,MiniMart,150.4708
73,NCK30,14.85,Reduced,0.060967038,HomeGoods,254.3698,OUT035,2004,Compact,Suburban,Superstore A,4566.0564
74,FDB36,5.465,Standard,0.048625599,Baking Goods,129.2626,OUT045,2002,,Suburban,Superstore A,1311.626
75,FDN13,18.6,Reduced,0.152294691,Breakfast,98.9358,OUT049,1999,Standard,Urban,Superstore A,1508.037
76,FDS49,9,Reduced,0.079279489,Canned,77.2644,OUT013,1987,Spacious,Rural,Superstore A,1335.5948
77,FDW37,,Reduced,0.123449671,Canned,89.7488,OUT027,1985,Standard,Rural,Superstore C,1901.5248
78,FDO23,17.85,Reduced,0,Breads,93.1436,OUT045,2002,,Suburban,Superstore A,2174.5028
79,FDU19,8.77,Standard,0.046844194,Produce,174.2422,OUT049,1999,Standard,Urban,Superstore A,1379.5376
80,FDI26,5.94,Reduced,0.035084073,Canned,176.4344,OUT017,2007,,Suburban,Superstore A,2141.2128
81,NCD19,8.93,Reduced,0,HomeGoods,53.2614,OUT049,1999,Standard,Urban,Superstore A,552.614
82,FDW15,,Standard,0.054846706,Proteins,147.3734,OUT027,1985,Standard,Rural,Superstore C,3266.4148
83,FDG28,9.285,Standard,0.049280292,Frozen Foods,245.6144,OUT046,1997,Compact,Urban,Superstore A,3920.2304
84,FDQ59,,Standard,0,Breads,84.5908,OUT027,1985,Standard,Rural,Superstore C,3020.0688
85,FDW57,8.31,Standard,0,Snack Foods,177.4028,OUT046,1997,Compact,Urban,Superstore A,3896.2616
86,FDB53,13.35,Reduced,0.139735226,Frozen Foods,147.5392,OUT045,2002,,Suburban,Superstore A,3877.6192
87,FDS50,17,Reduced,0.055545797,Edibles,220.5114,OUT045,2002,,Suburban,Superstore A,5321.0736
88,FDC60,5.425,Standard,0.115119905,Baking Goods,88.3514,OUT017,2007,,Suburban,Superstore A,1416.8224
89,NCX41,19,Reduced,0.017755213,Health and Hygiene,211.7244,OUT045,2002,,Suburban,Superstore A,2752.4172
90,FDB32,,Reduced,0.023339367,Produce,94.8778,OUT027,1985,Standard,Rural,Superstore C,4036.7454
91,FDQ07,,Standard,0.086983591,Produce,219.8456,OUT027,1985,Standard,Rural,Superstore C,1547.3192
92,FDI21,5.59,Standard,0.05671761,Snack Foods,62.9168,OUT045,2002,,Suburban,Superstore A,1406.1696
93,FDW13,8.5,Reduced,0.097884718,Canned,52.5324,OUT046,1997,Compact,Urban,Superstore A,1194.4452
94,FDE05,10.895,Standard,0.03263762,Frozen Foods,147.7102,OUT017,2007,,Suburban,Superstore A,1895.5326
95,FDS09,8.895,Standard,0.08125293,Snack Foods,49.8008,OUT045,2002,,Suburban,Superstore A,1062.6168
96,FDO19,17.7,Standard,0.016622448,Produce,50.2034,OUT049,1999,Standard,Urban,Superstore A,1166.4816
97,FDZ04,9.31,Reduced,0.037923509,Frozen Foods,61.651,OUT013,1987,Spacious,Rural,Superstore A,379.506
98,FDG29,17.6,Reduced,0.056379439,Frozen Foods,42.7454,OUT049,1999,Standard,Urban,Superstore A,293.6178
99,NCR41,17.85,Reduced,0.018097419,Health and Hygiene,96.9094,OUT018,2009,Standard,Rural,Superstore B,1332.9316
100,DRE03,19.6,Reduced,0.040550868,Edibles,45.5718,OUT010,1998,,Rural,MiniMart,47.2718
101,FDQ33,13.35,Reduced,0.091723066,Snack Foods,148.8708,OUT017,2007,,Suburban,Superstore A,3761.77
102,FDB21,7.475,Reduced,0.148492521,Produce,240.6854,OUT035,2004,Compact,Suburban,Superstore A,1691.7978
103,FDF04,17.5,Reduced,0.013692598,Frozen Foods,259.7304,OUT018,2009,Standard,Rural,Superstore B,3616.6256
104,FDJ03,12.35,Standard,0.072541731,Edibles,48.5692,OUT045,2002,,Suburban,Superstore A,886.8456
105,FDR48,11.65,Reduced,0.131770922,Baking Goods,151.1024,OUT045,2002,,Suburban,Superstore A,1518.024
106,FDQ08,15.7,Standard,0.018968743,Produce,61.9536,OUT045,2002,,Suburban,Superstore A,1225.072
107,FDO15,16.75,Standard,0.008615,Proteins,72.4038,OUT017,2007,,Suburban,Superstore A,739.038
108,NCX06,17.6,Reduced,0.015775777,HomeGoods,179.1976,OUT017,2007,,Suburban,Superstore A,3803.0496
109,FDX38,10.5,Standard,0.048207017,Edibles,45.9376,OUT046,1997,Compact,Urban,Superstore A,575.2512
110,NCZ05,8.485,Reduced,0.058083831,Health and Hygiene,103.199,OUT013,1987,Spacious,Rural,Superstore A,722.393
111,DRF51,15.75,Reduced,0.165838224,Edibles,36.6506,OUT046,1997,Compact,Urban,Superstore A,607.2096
112,FDF16,7.3,Reduced,0.086619573,Frozen Foods,147.6076,OUT017,2007,,Suburban,Superstore A,3251.7672
113,FDB14,20.25,Standard,0.102723919,Canned,93.212,OUT046,1997,Compact,Urban,Superstore A,1957.452
114,FDQ31,,Standard,0.053586458,Produce,89.7856,OUT027,1985,Standard,Rural,Superstore C,966.7416
115,FDB17,,Reduced,0.064208126,Frozen Foods,180.1976,OUT019,1985,Compact,Urban,MiniMart,181.0976
116,DRL37,15.5,Reduced,0.053362086,Beverages,41.577,OUT035,2004,Compact,Suburban,Superstore A,735.709
117,FDG60,,Reduced,0.060405784,Baking Goods,234.5616,OUT027,1985,Standard,Rural,Superstore C,6796.4864
118,FDX56,,Standard,0.129668578,Produce,206.8638,OUT019,1985,Compact,Urban,MiniMart,207.0638
119,FDQ16,19.7,Reduced,0.041974489,Frozen Foods,108.6912,OUT017,2007,,Suburban,Superstore A,2183.824
120,NCT18,14.6,Reduced,0.059741172,HomeGoods,179.6976,OUT017,2007,,Suburban,Superstore A,5070.7328
121,DRF13,12.1,Reduced,0.029902679,Beverages,144.3444,OUT018,2009,Standard,Rural,Superstore B,1161.1552
122,NCJ31,19.2,Reduced,0.182653772,Others,243.0196,OUT046,1997,Compact,Urban,Superstore A,3374.2744
123,FDR46,16.85,Reduced,0.139700397,Snack Foods,147.776,OUT045,2002,,Suburban,Superstore A,2490.092
124,FDD28,10.695,Reduced,0,Frozen Foods,60.5904,OUT017,2007,,Suburban,Superstore A,410.1328
125,FDC46,17.7,Reduced,0.116723677,Snack Foods,182.4266,OUT049,1999,Standard,Urban,Superstore A,5163.9448
126,FDM58,16.85,Standard,0.080141165,Snack Foods,111.4544,OUT017,2007,,Suburban,Superstore A,2013.3792
127,NCO41,12.5,Reduced,0.031549131,Health and Hygiene,99.0384,OUT010,1998,,Rural,MiniMart,197.0768
128,FDI45,13.1,Reduced,0.037574137,Produce,174.2054,OUT035,2004,Compact,Suburban,Superstore A,3677.2134
129,NCY17,18.2,Reduced,0.1630653,Health and Hygiene,43.3086,OUT035,2004,Compact,Suburban,Superstore A,758.3462
130,FDR59,14.5,Standard,0.064224789,Breads,262.7594,OUT017,2007,,Suburban,Superstore A,7064.8038
131,FDI07,,Standard,0.059110912,Proteins,199.3426,OUT019,1985,Compact,Urban,MiniMart,395.4852
132,FDD16,20.5,Reduced,0.036353098,Frozen Foods,75.8696,OUT046,1997,Compact,Urban,Superstore A,2386.2272
133,NCQ30,7.725,Reduced,0.029131242,HomeGoods,123.8414,OUT045,2002,,Suburban,Superstore A,487.3656
134,NCB30,14.6,Reduced,0.02575512,HomeGoods,199.6084,OUT045,2002,,Suburban,Superstore A,3769.7596
135,FDS34,19.35,Standard,0.076744561,Snack Foods,113.4518,OUT035,2004,Compact,Suburban,Superstore A,1593.9252
136,FDK04,,Reduced,0.052058711,Frozen Foods,55.5588,OUT027,1985,Standard,Rural,Superstore C,1145.176
137,FDT25,7.5,Reduced,0.050853901,Canned,121.7072,OUT045,2002,,Suburban,Superstore A,367.5216
138,FDX26,17.7,Reduced,0,Edibles,182.5292,OUT013,1987,Spacious,Rural,Superstore A,2736.438
139,FDW39,6.69,Standard,0,Proteins,176.937,OUT017,2007,,Suburban,Superstore A,4234.488
140,FDU02,13.35,Reduced,0.10249212,Edibles,230.5352,OUT035,2004,Compact,Suburban,Superstore A,2748.4224
141,FDF20,,Reduced,0.033059299,Produce,196.4768,OUT027,1985,Standard,Rural,Superstore C,6306.4576
142,FDC02,21.35,Reduced,0.068765205,Canned,260.4278,OUT013,1987,Spacious,Rural,Superstore A,3644.5892
143,FDJ07,7.26,Reduced,0.014482278,Proteins,118.115,OUT018,2009,Standard,Rural,Superstore B,1864.24
144,FDS58,9.285,Standard,0.021039273,Snack Foods,160.0578,OUT049,1999,Standard,Urban,Superstore A,2567.3248
145,FDI41,18.5,Standard,0.062609071,Frozen Foods,148.6418,OUT017,2007,,Suburban,Superstore A,1765.7016
146,FDJ44,12.3,Standard,0.106327251,Produce,172.8396,OUT046,1997,Compact,Urban,Superstore A,2616.594
147,NCV17,18.85,Reduced,0.016132592,Health and Hygiene,130.2626,OUT049,1999,Standard,Urban,Superstore A,3016.7398
148,FDI07,12.35,Standard,0.033754478,Proteins,199.0426,OUT035,2004,Compact,Suburban,Superstore A,3361.6242
149,NCN05,8.235,Reduced,0.014488997,Health and Hygiene,183.795,OUT045,2002,,Suburban,Superstore A,2929.52
150,FDS25,6.885,Standard,0.1408005,Canned,111.4228,OUT017,2007,,Suburban,Superstore A,2984.1156
151,DRD60,,Reduced,0.065188619,Beverages,181.1634,OUT019,1985,Compact,Urban,MiniMart,181.7634
152,FDP12,9.8,Standard,0.045266806,Baking Goods,36.9874,OUT046,1997,Compact,Urban,Superstore A,705.748
153,FDB50,13,Reduced,0.154244343,Canned,77.9986,OUT018,2009,Standard,Rural,Superstore B,1168.479
154,FDF21,10.3,Standard,0.059160135,Produce,191.553,OUT017,2007,,Suburban,Superstore A,6641.355
155,FDZ21,17.6,Standard,0.065649353,Snack Foods,94.841,OUT010,1998,,Rural,MiniMart,193.082
156,NCJ42,,Reduced,0.014232071,HomeGoods,100.9332,OUT027,1985,Standard,Rural,Superstore C,1743.0644
157,FDX14,,Reduced,0.13121032,Edibles,74.0354,OUT019,1985,Compact,Urban,MiniMart,75.2354
158,FDM20,10,Reduced,0.038653608,Produce,245.4144,OUT013,1987,Spacious,Rural,Superstore A,7105.4176
159,NCN07,18.5,Reduced,0.033997473,Others,129.9284,OUT049,1999,Standard,Urban,Superstore A,1845.5976
160,NCT06,17.1,Reduced,0.038816115,HomeGoods,166.4842,OUT045,2002,,Suburban,Superstore A,1326.2736
161,DRH15,,Reduced,0.19244045,Edibles,43.9428,OUT019,1985,Compact,Urban,MiniMart,131.8284
162,FDH17,16.2,Standard,0.016687114,Frozen Foods,96.9726,OUT045,2002,,Suburban,Superstore A,1076.5986
163,FDD04,16,Reduced,0.090111173,Edibles,141.3154,OUT049,1999,Standard,Urban,Superstore A,3261.7542
164,FDJ53,10.5,Reduced,0.071257912,Frozen Foods,121.3098,OUT046,1997,Compact,Urban,Superstore A,843.5686
165,FDQ23,,Reduced,0.024407061,Breads,102.3332,OUT027,1985,Standard,Rural,Superstore C,1948.1308
166,FDN49,17.25,Standard,0.125734578,Breakfast,41.748,OUT018,2009,Standard,Rural,Superstore B,199.74
167,FDA45,,Reduced,0.154627247,Snack Foods,177.637,OUT027,1985,Standard,Rural,Superstore C,5469.547
168,FDY59,8.195,Reduced,0,Baking Goods,93.1462,OUT018,2009,Standard,Rural,Superstore B,647.8234
169,FDG12,6.635,Standard,0.006351876,Baking Goods,120.3098,OUT018,2009,Standard,Rural,Superstore B,1446.1176
170,FDL46,20.35,Reduced,0.054011943,Snack Foods,116.5466,OUT013,1987,Spacious,Rural,Superstore A,1885.5456
171,FDM46,,Reduced,0.159193194,Snack Foods,92.712,OUT027,1985,Standard,Rural,Superstore C,3635.268
172,FDK45,11.65,Reduced,0.033830011,Seafood,111.686,OUT013,1987,Spacious,Rural,Superstore A,1584.604
173,FDI41,18.5,Standard,0.062510529,Frozen Foods,146.8418,OUT018,2009,Standard,Rural,Superstore B,2059.9852
174,FDH08,,Reduced,0.030516069,Produce,227.801,OUT019,1985,Compact,Urban,MiniMart,459.402
175,FDG02,7.855,Reduced,0.011261165,Canned,189.5188,OUT046,1997,Compact,Urban,Superstore A,1904.188
176,FDG34,,Standard,0.037388493,Snack Foods,107.8254,OUT027,1985,Standard,Rural,Superstore C,1410.8302
177,NCP14,8.275,Reduced,0.110739031,HomeGoods,103.3306,OUT018,2009,Standard,Rural,Superstore B,2404.2038
178,NCB43,20.2,Reduced,0.100114941,HomeGoods,188.3898,OUT045,2002,,Suburban,Superstore A,3554.7062
179,FDT12,6.215,Standard,0.049722335,Baking Goods,224.5062,OUT045,2002,,Suburban,Superstore A,4514.124
180,FDG57,14.7,Reduced,0.07229836,Produce,48.2034,OUT046,1997,Compact,Urban,Superstore A,874.8612
181,NCK30,14.85,Reduced,0.102065622,HomeGoods,254.2698,OUT010,1998,,Rural,MiniMart,1775.6886
182,DRI39,13.8,Reduced,0.162462044,Edibles,55.893,OUT010,1998,,Rural,MiniMart,226.372
183,FDP60,17.35,Reduced,0.056005781,Baking Goods,99.2016,OUT049,1999,Standard,Urban,Superstore A,1518.024
184,FDR58,,Reduced,0.041718456,Snack Foods,94.5462,OUT027,1985,Standard,Rural,Superstore C,2868.9322
185,FDZ48,17.75,Reduced,0.075959623,Baking Goods,112.4544,OUT046,1997,Compact,Urban,Superstore A,2460.7968
186,FDZ35,,Standard,0.022170592,Breads,105.199,OUT027,1985,Standard,Rural,Superstore C,3199.169
187,FDB17,13.15,Reduced,0.061381589,Frozen Foods,179.9976,OUT010,1998,,Rural,MiniMart,181.0976
188,FDA13,15.85,Reduced,0.078999287,Canned,38.6506,OUT017,2007,,Suburban,Superstore A,759.012
189,DRF01,,Reduced,0.174232377,Beverages,146.6102,OUT027,1985,Standard,Rural,Superstore C,1895.5326
190,FDE32,20.7,Reduced,0.04875891,Produce,37.3506,OUT046,1997,Compact,Urban,Superstore A,834.9132
191,DRE13,6.28,Reduced,0.027748176,Beverages,86.5198,OUT049,1999,Standard,Urban,Superstore A,1395.5168
192,FDT39,6.26,Standard,0.009887927,Proteins,150.7366,OUT045,2002,,Suburban,Superstore A,2418.1856
193,NCK19,9.8,Reduced,0.09046564,Others,193.6478,OUT046,1997,Compact,Urban,Superstore A,3099.9648
194,FDY12,9.8,Standard,0.14061104,Baking Goods,49.8008,OUT046,1997,Compact,Urban,Superstore A,809.6128
195,NCG18,15.3,Reduced,0,HomeGoods,103.5332,OUT035,2004,Compact,Suburban,Superstore A,3383.5956
196,FDL04,19,Reduced,0.111830282,Frozen Foods,105.4622,OUT013,1987,Spacious,Rural,Superstore A,952.7598
197,NCQ05,11.395,Reduced,0,Health and Hygiene,149.2708,OUT017,2007,,Suburban,Superstore A,2407.5328
198,NCO05,7.27,Reduced,0.046653872,Health and Hygiene,98.6384,OUT045,2002,,Suburban,Superstore A,1970.768
199,DRN47,12.1,Reduced,0.016895293,Hard Drinks,178.566,OUT018,2009,Standard,Rural,Superstore B,898.83
200,NCM42,6.13,Reduced,0.02848169,HomeGoods,110.4912,OUT017,2007,,Suburban,Superstore A,1310.2944
201,FDT55,13.6,Standard,0.043902087,Produce,157.0946,OUT017,2007,,Suburban,Superstore A,5522.811
202,FDH20,16.1,Standard,0,Produce,98.441,OUT017,2007,,Suburban,Superstore A,868.869
203,FDG32,19.85,Reduced,0.175995526,Produce,224.0772,OUT046,1997,Compact,Urban,Superstore A,1556.6404
204,FDV15,,Reduced,0.145464606,Proteins,105.7648,OUT027,1985,Standard,Rural,Superstore C,2596.62
205,FDN46,7.21,Standard,0,Snack Foods,103.1332,OUT017,2007,,Suburban,Superstore A,3281.0624
206,NCL31,7.39,Reduced,0.120524922,Others,142.247,OUT045,2002,,Suburban,Superstore A,2433.499
207,DRM48,15.2,Reduced,0.113125627,Beverages,38.6848,OUT045,2002,,Suburban,Superstore A,1155.8288
208,FDV48,9.195,Standard,0.051573903,Baking Goods,79.8644,OUT013,1987,Spacious,Rural,Superstore A,785.644
209,FDX24,8.355,Reduced,0.013957308,Baking Goods,94.0462,OUT045,2002,,Suburban,Superstore A,1480.7392
210,FDM39,6.42,Reduced,0.053553794,Edibles,178.6002,OUT049,1999,Standard,Urban,Superstore A,3582.004
211,FDD26,8.71,Standard,0.072301795,Canned,185.6924,OUT045,2002,,Suburban,Superstore A,3331.6632
212,FDV47,17.1,Reduced,0.054514169,Breads,84.4566,OUT017,2007,,Suburban,Superstore A,591.8962
213,NCM07,9.395,Reduced,0.040023967,Others,85.5908,OUT049,1999,Standard,Urban,Superstore A,1006.6896
214,FDM13,6.425,Reduced,0.063432676,Breakfast,132.8626,OUT018,2009,Standard,Rural,Superstore B,524.6504
215,FDV48,9.195,Standard,0.051697108,Baking Goods,79.2644,OUT049,1999,Standard,Urban,Superstore A,864.2084
216,FDH04,,Standard,0.019912606,Frozen Foods,91.0488,OUT019,1985,Compact,Urban,MiniMart,271.6464
217,FDG47,12.8,Reduced,0.069605676,Starchy Foods,261.9252,OUT035,2004,Compact,Suburban,Superstore A,4984.1788
218,FDQ33,,Reduced,0,Snack Foods,151.6708,OUT027,1985,Standard,Rural,Superstore C,4815.0656
219,DRE12,4.59,Reduced,0.070721656,Beverages,113.286,OUT013,1987,Spacious,Rural,Superstore A,1471.418
220,FDB40,,Standard,0.007503372,Edibles,146.7102,OUT027,1985,Standard,Rural,Superstore C,4374.306
221,FDA35,14.85,Standard,0.053837561,Baking Goods,120.8072,OUT046,1997,Compact,Urban,Superstore A,4287.752
222,FDX22,6.785,Standard,0.023021406,Snack Foods,208.9928,OUT045,2002,,Suburban,Superstore A,2103.928
223,NCL30,,Reduced,0.048703432,HomeGoods,125.9336,OUT027,1985,Standard,Rural,Superstore C,7158.6816
224,NCA53,11.395,Reduced,0.009893817,Health and Hygiene,50.3034,OUT049,1999,Standard,Urban,Superstore A,972.068
225,FDF02,16.2,Reduced,0.103894671,Canned,101.299,OUT018,2009,Standard,Rural,Superstore B,1857.582
226,FDX56,,Standard,0.073700837,Produce,207.1638,OUT027,1985,Standard,Rural,Superstore C,7247.233
227,FDY27,6.38,Reduced,0.03187163,Edibles,179.5344,OUT013,1987,Spacious,Rural,Superstore A,4103.9912
228,FDB56,8.75,Standard,0.074627201,Produce,187.8556,OUT046,1997,Compact,Urban,Superstore A,1314.2892
229,DRI49,14.15,Reduced,0.184254826,Beverages,82.4276,OUT018,2009,Standard,Rural,Superstore B,1218.414
230,DRM23,,Reduced,0,Hard Drinks,171.7422,OUT027,1985,Standard,Rural,Superstore C,6207.9192
231,NCR53,12.15,Reduced,0.14492016,Health and Hygiene,224.4404,OUT013,1987,Spacious,Rural,Superstore A,1800.3232
232,NCQ38,16.35,Reduced,0.013355306,Others,105.528,OUT013,1987,Spacious,Rural,Superstore A,2024.032
233,FDL14,8.115,Standard,0.032208865,Canned,154.9972,OUT049,1999,Standard,Urban,Superstore A,3739.1328
234,FDT02,12.6,Reduced,0.024331586,Edibles,34.9874,OUT017,2007,,Suburban,Superstore A,529.311
235,FDJ41,6.85,Reduced,0.023012718,Frozen Foods,262.0594,OUT017,2007,,Suburban,Superstore A,1569.9564
236,FDD02,16.6,Reduced,0,Canned,117.3124,OUT013,1987,Spacious,Rural,Superstore A,2014.7108
